actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
23.0 </> 24.0,Missed Shot </> Defensive Rebound,PT10M39.00S </> PT10M38.00S,MISS Doncic 21' Step Back Jump Shot </> Ayton REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629029.0 </> 1629028.0,Doncic </> Ayton,L. Doncic </> D. Ayton,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,30.0 </> 0.0,204.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/24/af0eb040-d456-0ffb-8097-4743000d534f_1280x720.mp4,10986 </> 10987,train-10986 </> train-10987,MISS PLAYER1629029 21' Step Back Jump Shot </> PLAYER1629028 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER1629028,action126 </> action135
25.0,Made Shot,PT10M24.00S,Ayton 18' Jump Shot (5 PTS) (Booker 1 AST),1.0,h,1.0,1629028.0,Ayton,D. Ayton,7.0,2,5,18.0,Made,Jump Shot,1610612756.0,PHX,1.0,-122.0,134.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/25/c454ed33-fc08-82c5-acc1-7a7eb3d83b34_1280x720.mp4,10988,train-10988,PLAYER1629028 18' Jump Shot (PLAYER1626164 AST),PLAYER1629028 PLAYER1626164,action63
27.0 </> 28.0,Missed Shot </> Defensive Rebound,PT10M06.00S </> PT10M03.00S,MISS Matthews 25' 3PT Jump Shot </> Ayton REBOUND (Off:0 Def:3),1.0 </> 0.0,v </> h,1.0 </> 1.0,202083.0 </> 1629028.0,Matthews </> Ayton,W. Matthews </> D. Ayton,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,-210.0 </> 0.0,127.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/27/044adcd0-8b65-2720-1316-ead1136d455a_1280x720.mp4 ,10989 </> 10990,train-10989 </> train-10990,MISS PLAYER202083 25' 3PT Jump Shot </> PLAYER1629028 DEFENSIVE REBOUND ,PLAYER202083 </> PLAYER1629028,action109 </> action135
27.0 </> 28.0,Missed Shot </> Defensive Rebound,PT10M06.00S </> PT10M03.00S,MISS Matthews 25' 3PT Jump Shot </> Ayton REBOUND (Off:0 Def:3),1.0 </> 0.0,v </> h,1.0 </> 1.0,202083.0 </> 1629028.0,Matthews </> Ayton,W. Matthews </> D. Ayton,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,-210.0 </> 0.0,127.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/28/352359d5-324a-c493-bef3-700c7580b307_1280x720.mp4,10989 </> 10990,train-10989 </> train-10990,MISS PLAYER202083 25' 3PT Jump Shot </> PLAYER1629028 DEFENSIVE REBOUND ,PLAYER202083 </> PLAYER1629028,action109 </> action135
29.0,Turnover,PT09M56.00S,Booker Bad Pass Turnover (P1.T1),0.0,h,1.0,1626164.0,Booker,D. Booker,0.0,,,0.0,,Bad Pass,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/29/d56352d1-1dae-7dea-ba96-7d0a54fa20d2_1280x720.mp4,10991,train-10991,PLAYER1626164 Bad Pass Turnover ,PLAYER1626164,action143
31.0,Made Shot,PT09M49.00S,Doncic 1' Cutting Dunk Shot (2 PTS) (Matthews 1 AST),1.0,v,1.0,1629029.0,Doncic,L. Doncic,9.0,4,5,1.0,Made,Cutting Dunk Shot,1610612742.0,DAL,1.0,-2.0,14.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/31/01442e2f-1684-ec65-8d1f-a43c3396e415_1280x720.mp4,10992,train-10992,PLAYER1629029 1' Cutting Dunk Shot (PLAYER202083 AST),PLAYER1629029 PLAYER202083,action44
33.0,Made Shot,PT09M36.00S,Canaan 26' 3PT Pullup Jump Shot (3 PTS) (Booker 2 AST),1.0,h,1.0,203477.0,Canaan,I. Canaan,12.0,4,8,26.0,Made,Pullup Jump shot,1610612756.0,PHX,1.0,-50.0,252.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/33/ff7e7dbb-7f06-d4a7-4ce3-2b22ae54398a_1280x720.mp4,10993,train-10993,PLAYER203477 26' 3PT Pullup Jump Shot (PLAYER1626164 AST),PLAYER203477 PLAYER1626164,action65
35.0,Foul,PT09M36.00S,Jordan AWAY.FROM.PLAY.FOUL (P1.T2) (L.Wood),0.0,v,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,Away From Play,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/35/4bc60d2c-5511-d12f-576b-84e56dd715bf_1280x720.mp4,10994,train-10994,PLAYER201599 AWAY.FROM.PLAY.FOUL ,PLAYER201599,action2
38.0 </> 39.0,Missed Shot </> Defensive Rebound,PT09M21.00S </> PT09M16.00S,MISS Doncic 26' 3PT Jump Shot </> Anderson REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629029.0 </> 201583.0,Doncic </> Anderson,L. Doncic </> R. Anderson,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,122.0 </> 0.0,226.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/38/35459216-a3ec-ad48-87c9-1df135e9ca57_1280x720.mp4 ,10995 </> 10996,train-10995 </> train-10996,MISS PLAYER1629029 26' 3PT Jump Shot </> PLAYER201583 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER201583,action109 </> action135
38.0 </> 39.0,Missed Shot </> Defensive Rebound,PT09M21.00S </> PT09M16.00S,MISS Doncic 26' 3PT Jump Shot </> Anderson REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629029.0 </> 201583.0,Doncic </> Anderson,L. Doncic </> R. Anderson,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,122.0 </> 0.0,226.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/39/13ea515c-5ef2-266d-6fc2-c7bfb6112e48_1280x720.mp4,10995 </> 10996,train-10995 </> train-10996,MISS PLAYER1629029 26' 3PT Jump Shot </> PLAYER201583 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER201583,action109 </> action135
40.0,Made Shot,PT09M07.00S,Booker 1' Cutting Layup Shot (2 PTS) (Canaan 1 AST),1.0,h,1.0,1626164.0,Booker,D. Booker,15.0,4,11,1.0,Made,Cutting Layup Shot,1610612756.0,PHX,1.0,8.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/40/55bdd82f-3fca-1283-8641-0e0a51bd5c01_1280x720.mp4,10997,train-10997,PLAYER1626164 1' Cutting Layup Shot (PLAYER203477 AST),PLAYER1626164 PLAYER203477,action46
46.0,Made Shot,PT08M52.00S,Doncic 1' Driving Layup (4 PTS) (Jordan 1 AST),1.0,v,1.0,1629029.0,Doncic,L. Doncic,17.0,6,11,1.0,Made,Driving Layup Shot,1610612742.0,DAL,1.0,-5.0,10.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/46/2aacaf5f-1ac6-4e8d-4a14-d065fc07d56a_1280x720.mp4,10998,train-10998,PLAYER1629029 1' Driving Layup (PLAYER201599 AST),PLAYER1629029 PLAYER201599,action53
48.0,Made Shot,PT08M32.00S,Booker 1' Cutting Finger Roll Layup Shot (4 PTS) (Ayton 1 AST),1.0,h,1.0,1626164.0,Booker,D. Booker,19.0,6,13,1.0,Made,Cutting Finger Roll Layup Shot,1610612756.0,PHX,1.0,5.0,1.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/48/05f2015f-16e5-901e-1221-6c92dd034f25_1280x720.mp4,10999,train-10999,PLAYER1626164 1' Cutting Finger Roll Layup Shot (PLAYER1629028 AST),PLAYER1626164 PLAYER1629028,action45
50.0 </> 51.0,Missed Shot </> Defensive Rebound,PT08M20.00S </> PT08M19.00S,MISS Finney-Smith 25' 3PT Jump Shot </> Canaan REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627827.0 </> 203477.0,Finney-Smith </> Canaan,D. Finney-Smith </> I. Canaan,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,29.0 </> 0.0,252.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/50/580e212e-c04a-fd6e-252f-72a75e5437b7_1280x720.mp4 ,11000 </> 11001,train-11000 </> train-11001,MISS PLAYER1627827 25' 3PT Jump Shot </> PLAYER203477 DEFENSIVE REBOUND ,PLAYER1627827 </> PLAYER203477,action109 </> action135
50.0 </> 51.0,Missed Shot </> Defensive Rebound,PT08M20.00S </> PT08M19.00S,MISS Finney-Smith 25' 3PT Jump Shot </> Canaan REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627827.0 </> 203477.0,Finney-Smith </> Canaan,D. Finney-Smith </> I. Canaan,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,29.0 </> 0.0,252.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/51/70cea510-2249-fa54-1e2d-35dfbdfc31f1_1280x720.mp4,11000 </> 11001,train-11000 </> train-11001,MISS PLAYER1627827 25' 3PT Jump Shot </> PLAYER203477 DEFENSIVE REBOUND ,PLAYER1627827 </> PLAYER203477,action109 </> action135
52.0 </> 53.0,Missed Shot </> Defensive Rebound,PT08M00.00S </> PT07M56.00S,MISS Ariza 27' 3PT Pullup Jump Shot </> Doncic REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,2772.0 </> 1629029.0,Ariza </> Doncic,T. Ariza </> L. Doncic,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-152.0 </> 0.0,223.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/52/f88d4dd1-8b14-f024-833d-059a6aff34c0_1280x720.mp4 ,11002 </> 11003,train-11002 </> train-11003,MISS PLAYER2772 27' 3PT Pullup Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER2772 </> PLAYER1629029,action111 </> action135
52.0 </> 53.0,Missed Shot </> Defensive Rebound,PT08M00.00S </> PT07M56.00S,MISS Ariza 27' 3PT Pullup Jump Shot </> Doncic REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,2772.0 </> 1629029.0,Ariza </> Doncic,T. Ariza </> L. Doncic,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-152.0 </> 0.0,223.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/53/688bbd11-8e77-e798-2d6a-dd930908546f_1280x720.mp4,11002 </> 11003,train-11002 </> train-11003,MISS PLAYER2772 27' 3PT Pullup Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER2772 </> PLAYER1629029,action111 </> action135
54.0,Made Shot,PT07M50.00S,Jordan 1' Running Alley Oop Layup Shot (4 PTS) (Doncic 2 AST),1.0,v,1.0,201599.0,Jordan,D. Jordan,21.0,8,13,1.0,Made,Running Alley Oop Layup Shot,1610612742.0,DAL,1.0,1.0,9.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/54/5f199687-ffea-4769-355e-c5bb11f22c53_1280x720.mp4,11004,train-11004,PLAYER201599 1' Running Alley Oop Layup Shot (PLAYER1629029 AST),PLAYER201599 PLAYER1629029,action71
56.0,Turnover,PT07M39.00S,Anderson Bad Pass Turnover (P1.T2),0.0,h,1.0,201583.0,Anderson,R. Anderson,0.0,,,0.0,,Bad Pass,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/56/1f1a1d05-7515-1ae7-61c4-2f08e81e4a99_1280x720.mp4,11005,train-11005,PLAYER201583 Bad Pass Turnover ,PLAYER201583,action143
58.0,Made Shot,PT07M36.00S,Smith Jr. 1' Running Dunk (2 PTS),1.0,v,1.0,1628372.0,Smith Jr.,D. Smith Jr.,23.0,10,13,1.0,Made,Running Dunk Shot,1610612742.0,DAL,1.0,3.0,5.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/58/7df264c5-1a73-d6b6-eb8e-966b09057abf_1280x720.mp4,11006,train-11006,PLAYER1628372 1' Running Dunk ,PLAYER1628372,action72
59.0 </> 60.0,Missed Shot </> Defensive Rebound,PT07M21.00S </> PT07M18.00S,MISS Canaan 26' 3PT Pullup Jump Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203477.0 </> 201599.0,Canaan </> Jordan,I. Canaan </> D. Jordan,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,5.0 </> 0.0,256.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/59/29ec88a5-54d7-91d1-4e3d-292fdd6c76a4_1280x720.mp4 ,11007 </> 11008,train-11007 </> train-11008,MISS PLAYER203477 26' 3PT Pullup Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER203477 </> PLAYER201599,action111 </> action135
59.0 </> 60.0,Missed Shot </> Defensive Rebound,PT07M21.00S </> PT07M18.00S,MISS Canaan 26' 3PT Pullup Jump Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203477.0 </> 201599.0,Canaan </> Jordan,I. Canaan </> D. Jordan,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,5.0 </> 0.0,256.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/60/00b590e8-54c1-3d60-7213-32300458793e_1280x720.mp4,11007 </> 11008,train-11007 </> train-11008,MISS PLAYER203477 26' 3PT Pullup Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER203477 </> PLAYER201599,action111 </> action135
61.0,Foul,PT07M13.00S,Ariza P.FOUL (P1.T3) (M.Callahan),0.0,h,1.0,2772.0,Ariza,T. Ariza,0.0,,,0.0,,Personal,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/61/1f2fbc3a-5143-ac24-ea0e-d876bfd16bfc_1280x720.mp4,11009,train-11009,PLAYER2772 P.FOUL ,PLAYER2772,action16
63.0,Made Shot,PT07M06.00S,Jordan Cutting Dunk Shot (6 PTS) (Doncic 3 AST),1.0,v,1.0,201599.0,Jordan,D. Jordan,25.0,12,13,0.0,Made,Cutting Dunk Shot,1610612742.0,DAL,1.0,-2.0,1.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/63/9b9ce0b8-95a3-5139-07ef-5fd642bd2b88_1280x720.mp4,11010,train-11010,PLAYER201599 Cutting Dunk Shot (PLAYER1629029 AST),PLAYER201599 PLAYER1629029,action44
65.0,Made Shot,PT06M43.00S,Ayton 20' Jump Shot (8 PTS) (Canaan 2 AST),1.0,h,1.0,1629028.0,Ayton,D. Ayton,27.0,12,15,20.0,Made,Jump Shot,1610612756.0,PHX,1.0,-98.0,175.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/65/d67ad2b0-d4e5-06be-bf37-e708f06edbef_1280x720.mp4,11011,train-11011,PLAYER1629028 20' Jump Shot (PLAYER203477 AST),PLAYER1629028 PLAYER203477,action63
67.0 </> 68.0,Missed Shot </> Defensive Rebound,PT06M21.00S </> PT06M19.00S,MISS Jordan 1' Hook Shot </> Ariza REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201599.0 </> 2772.0,Jordan </> Ariza,D. Jordan </> T. Ariza,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,6.0 </> 0.0,9.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/67/028e7efe-c32f-b5e1-ce9c-bc1d7ff0bec7_1280x720.mp4 ,11012 </> 11013,train-11012 </> train-11013,MISS PLAYER201599 1' Hook Shot </> PLAYER2772 DEFENSIVE REBOUND ,PLAYER201599 </> PLAYER2772,action107 </> action135
67.0 </> 68.0,Missed Shot </> Defensive Rebound,PT06M21.00S </> PT06M19.00S,MISS Jordan 1' Hook Shot </> Ariza REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201599.0 </> 2772.0,Jordan </> Ariza,D. Jordan </> T. Ariza,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,6.0 </> 0.0,9.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/68/961dd4db-01a5-619d-142a-4cefe0d054a6_1280x720.mp4,11012 </> 11013,train-11012 </> train-11013,MISS PLAYER201599 1' Hook Shot </> PLAYER2772 DEFENSIVE REBOUND ,PLAYER201599 </> PLAYER2772,action107 </> action135
69.0,Made Shot,PT06M14.00S,Ariza 26' 3PT Jump Shot (3 PTS) (Booker 3 AST),1.0,h,1.0,2772.0,Ariza,T. Ariza,30.0,12,18,26.0,Made,Jump Shot,1610612756.0,PHX,1.0,-28.0,257.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/69/c3f94ac5-45af-3c81-083c-b1d0ee497730_1280x720.mp4,11014,train-11014,PLAYER2772 26' 3PT Jump Shot (PLAYER1626164 AST),PLAYER2772 PLAYER1626164,action63
71.0 </> 72.0,Missed Shot </> Offensive Rebound,PT05M47.00S </> PT05M46.00S,MISS Jordan 1' Hook Shot </> Jordan REBOUND (Off:1 Def:1),1.0 </> 0.0,v </> v,1.0 </> 1.0,201599.0 </> 201599.0,Jordan </> Jordan,D. Jordan </> D. Jordan,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612742.0 </> 1610612742.0,DAL </> DAL,1.0 </> 1.0,-9.0 </> 0.0,8.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/71/7ec3f839-d05c-2cb2-837f-c7d7ae13ffcb_1280x720.mp4 ,11015 </> 11016,train-11015 </> train-11016,MISS PLAYER201599 1' Hook Shot </> PLAYER201599 OFFENSIVE REBOUND ,PLAYER201599 </> PLAYER201599,action107 </> action135
